,graph_file_pretty,cur_clique,exec_time
6,DSJC500_5,12,4.81581
7,DSJC500_5,12,1.30169
8,DSJC500_5,11,6.0936
9,DSJC500_5,12,5.02305
10,DSJC500_5,12,4.81555
11,DSJC500_5,11,4.13022
12,DSJC500_5,11,1.25834
13,DSJC500_5,11,1.14525
14,DSJC500_5,12,2.56075
15,DSJC500_5,12,5.10537
16,DSJC500_5,12,2.4252
17,DSJC500_5,12,5.16144
18,DSJC500_5,11,2.20851
19,DSJC500_5,13,4.99341
20,DSJC500_5,12,3.69029
1,gen200_p0.9_44,36,0.0609024
2,gen200_p0.9_44,44,0.110956
3,gen200_p0.9_44,44,0.115668
4,gen200_p0.9_44,44,0.233729
5,gen200_p0.9_44,44,0.123978
6,gen200_p0.9_44,38,0.0750627
7,gen200_p0.9_44,44,0.163246
8,gen200_p0.9_44,38,0.0691437
9,gen200_p0.9_44,39,0.0768568
10,gen200_p0.9_44,44,0.283098
11,gen200_p0.9_44,38,0.0640784
12,gen200_p0.9_44,37,0.071083
13,gen200_p0.9_44,38,0.0678385
14,gen200_p0.9_44,38,0.0679117
15,gen200_p0.9_44,38,0.061595
16,gen200_p0.9_44,39,0.0600915
17,gen200_p0.9_44,44,0.125803
18,gen200_p0.9_44,38,0.0569114
19,gen200_p0.9_44,38,0.0732447
20,gen200_p0.9_44,44,0.171554
1,gen200_p0.9_55,55,0.443923
2,gen200_p0.9_55,41,0.141159
3,gen200_p0.9_55,39,0.0707595
4,gen200_p0.9_55,38,0.0843366
5,gen200_p0.9_55,55,0.414067
6,gen200_p0.9_55,55,0.323823
7,gen200_p0.9_55,55,0.427443
8,gen200_p0.9_55,55,0.382965
9,gen200_p0.9_55,55,0.366044
10,gen200_p0.9_55,55,0.450293
11,gen200_p0.9_55,41,0.0872017
12,gen200_p0.9_55,39,0.0803435
13,gen200_p0.9_55,38,0.0748034
14,gen200_p0.9_55,55,0.371517
15,gen200_p0.9_55,41,0.0787273
16,gen200_p0.9_55,41,0.111441
17,gen200_p0.9_55,55,0.406286
18,gen200_p0.9_55,55,0.442102
19,gen200_p0.9_55,55,0.484775
20,gen200_p0.9_55,41,0.0866707
1,gen400_p0.9_55,46,0.0839854
2,gen400_p0.9_55,46,0.102513
3,gen400_p0.9_55,46,0.0981488
4,gen400_p0.9_55,44,0.0737918
5,gen400_p0.9_55,47,0.0756665
6,gen400_p0.9_55,45,0.0815906
7,gen400_p0.9_55,46,0.0866144
8,gen400_p0.9_55,47,0.131422
9,gen400_p0.9_55,45,0.0824354
10,gen400_p0.9_55,45,0.078998
11,gen400_p0.9_55,45,0.069245
12,gen400_p0.9_55,45,0.0834979
13,gen400_p0.9_55,45,0.0884838
14,gen400_p0.9_55,47,0.130016
15,gen400_p0.9_55,45,0.0722805
16,gen400_p0.9_55,47,0.0793866
17,gen400_p0.9_55,45,0.0800526
18,gen400_p0.9_55,45,0.0837088
19,gen400_p0.9_55,46,0.0923186
20,gen400_p0.9_55,44,0.0827191
1,gen400_p0.9_65,42,0.0730699
2,gen400_p0.9_65,49,0.0796508
3,gen400_p0.9_65,58,0.107098
4,gen400_p0.9_65,57,0.0824054
5,gen400_p0.9_65,44,0.0750114
6,gen400_p0.9_65,42,0.0685247
7,gen400_p0.9_65,42,0.0582411
8,gen400_p0.9_65,44,0.0709825
9,gen400_p0.9_65,46,0.0873604
10,gen400_p0.9_65,64,0.168199
11,gen400_p0.9_65,41,0.0599167
12,gen400_p0.9_65,42,0.0629146
13,gen400_p0.9_65,44,0.0671339
14,gen400_p0.9_65,53,0.0733923
15,gen400_p0.9_65,47,0.0571065
16,gen400_p0.9_65,42,0.0572149
17,gen400_p0.9_65,43,0.0629149
18,gen400_p0.9_65,51,0.0632475
19,gen400_p0.9_65,44,0.0671253
20,gen400_p0.9_65,52,0.0646771
1,gen400_p0.9_75,43,0.0560808
2,gen400_p0.9_75,47,0.0672894
3,gen400_p0.9_75,41,0.0538171
4,gen400_p0.9_75,69,0.125633
5,gen400_p0.9_75,63,0.0997412
6,gen400_p0.9_75,45,0.0708365
7,gen400_p0.9_75,42,0.0639281
8,gen400_p0.9_75,43,0.0622854
9,gen400_p0.9_75,43,0.0590915
10,gen400_p0.9_75,46,0.0717166
11,gen400_p0.9_75,41,0.0533153
12,gen400_p0.9_75,58,0.0640591
13,gen400_p0.9_75,44,0.0669202
14,gen400_p0.9_75,43,0.0657484
15,gen400_p0.9_75,47,0.0734125
16,gen400_p0.9_75,47,0.0757691
17,gen400_p0.9_75,45,0.0588138
18,gen400_p0.9_75,45,0.067681
19,gen400_p0.9_75,45,0.0685479
20,gen400_p0.9_75,46,0.0620727
1,hamming10-2,152,0.267316
2,hamming10-2,147,0.276035
3,hamming10-2,151,0.270091
4,hamming10-2,161,0.285272
5,hamming10-2,167,0.317321
6,hamming10-2,156,0.261734
7,hamming10-2,150,0.280201
8,hamming10-2,164,0.308601
9,hamming10-2,164,0.287742
10,hamming10-2,155,0.266738
11,hamming10-2,158,0.301188
12,hamming10-2,157,0.329565
13,hamming10-2,143,0.24771
14,hamming10-2,161,0.303086
15,hamming10-2,153,0.293998
16,hamming10-2,167,0.314557
17,hamming10-2,163,0.30151
18,hamming10-2,169,0.320926
19,hamming10-2,167,0.337306
20,hamming10-2,169,0.31445
